Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
1,Jaylen Adams,PG,23,POR,3,0,21,3,9,0.333,0,4,0.0,3,5,0.6,0.333,0,0,,1,2,3,2,1,0,0,1,6,adamsja01,2019
2,Steven Adams,C,26,OKC,7,7,210,31,52,0.596,0,1,0.0,31,51,0.608,0.596,9,20,0.45,34,47,81,9,4,2,16,10,71,adamsst01,2019
3,Bam Adebayo,PF,22,MIA,19,19,687,124,220,0.564,0,1,0.0,124,219,0.566,0.564,90,115,0.783,47,149,196,84,19,16,47,58,338,adebaba01,2019
4,Jarrett Allen,C,21,BRK,4,4,132,14,24,0.583,0,0,,14,24,0.583,0.583,13,16,0.813,17,42,59,9,2,7,11,7,41,allenja01,2019
5,Justin Anderson,SG,26,BRK,3,0,28,5,12,0.417,5,11,0.455,0,1,0.0,0.625,4,4,1.0,0,8,8,3,0,1,2,2,19,anderju01,2019
6,Giannis Antetokounmpo,PF,25,MIL,9,9,277,90,161,0.559,13,40,0.325,77,121,0.636,0.599,47,81,0.58,27,97,124,51,6,8,30,31,240,antetgi01,2019
7,Carmelo Anthony,PF,35,POR,5,5,176,28,68,0.412,8,19,0.421,20,49,0.408,0.471,12,14,0.857,1,24,25,10,5,2,13,20,76,anthoca01,2019
8,OG Anunoby,SF,22,TOR,11,11,393,40,88,0.455,17,41,0.415,23,47,0.489,0.551,18,28,0.643,26,50,76,13,11,13,16,27,115,anunoog01,2019
9,D.J. Augustin,PG,32,ORL,5,0,128,18,46,0.391,8,17,0.471,10,29,0.345,0.478,22,23,0.957,0,10,10,30,1,0,12,6,66,augusdj01,2019
10,J.J. Barea,PG,35,DAL,1,0,5,0,1,0.0,0,0,,0,1,0.0,0.0,3,3,1.0,0,0,0,0,0,0,1,1,3,bareajo01,2019
11,Keita Bates-Diop,SF,24,DEN,5,0,24,1,5,0.2,0,0,,1,5,0.2,0.2,1,2,0.5,3,3,6,1,0,0,0,0,3,bateske01,2019
12,Darius Bazley,PF,19,OKC,7,0,126,13,31,0.419,11,22,0.5,2,9,0.222,0.597,9,10,0.9,2,45,47,6,0,3,6,2,46,bazleda01,2019
13,Patrick Beverley,PG,31,LAC,8,8,166,20,39,0.513,8,22,0.364,12,17,0.706,0.615,2,4,0.5,9,24,33,19,8,3,7,31,50,beverpa01,2019
14,Khem Birch,C,27,ORL,5,0,89,7,14,0.5,0,0,,7,14,0.5,0.5,10,11,0.909,9,16,25,7,1,0,5,11,24,birchkh01,2019
15,Eric Bledsoe,PG,30,MIL,9,9,267,38,98,0.388,8,32,0.25,30,66,0.455,0.429,21,26,0.808,5,36,41,53,11,6,23,20,105,bledser01,2019
16,Bol Bol,PF,20,DEN,4,0,21,5,9,0.556,2,3,0.667,3,6,0.5,0.667,7,8,0.875,3,2,5,0,2,2,2,1,19,bolbo01,2019
17,Chris Boucher,C,27,TOR,7,0,43,3,11,0.273,2,5,0.4,1,6,0.167,0.364,0,1,0.0,3,9,12,1,0,2,1,5,8,bouchch01,2019
18,Tony Bradley,C,22,UTA,6,0,48,2,9,0.222,0,0,,2,9,0.222,0.222,5,7,0.714,10,13,23,1,2,2,4,4,9,bradlto01,2019
19,Jarrell Brantley,PF,23,UTA,2,0,13,0,5,0.0,0,3,0.0,0,2,0.0,0.0,1,2,0.5,3,1,4,2,0,1,1,4,1,brantja01,2019
20,Malcolm Brogdon,PG,27,IND,4,4,160,26,65,0.4,9,24,0.375,17,41,0.415,0.469,25,28,0.893,0,17,17,40,4,0,10,10,86,brogdma01,2019
21,Jaylen Brown,SG,23,BOS,17,17,672,137,288,0.476,43,120,0.358,94,168,0.56,0.55,53,63,0.841,24,103,127,39,26,9,41,48,370,brownja02,2019
22,Sterling Brown,SF,24,MIL,1,0,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,0,0,brownst02,2019
23,Trey Burke,PG,27,DAL,6,3,156,30,59,0.508,8,17,0.471,22,42,0.524,0.576,6,10,0.6,2,17,19,12,8,2,6,14,74,burketr01,2019
24,Alec Burks,SG,28,PHI,4,0,95,16,49,0.327,3,16,0.188,13,33,0.394,0.357,7,9,0.778,7,8,15,7,1,3,3,7,42,burksal01,2019
25,Deonte Burton,SF,26,OKC,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,burtode02,2019
26,Jimmy Butler,SF,30,MIA,21,21,806,144,295,0.488,15,43,0.349,129,252,0.512,0.514,164,191,0.859,46,90,136,127,41,14,59,37,467,butleji01,2019
27,Bruno Caboclo,C,24,HOU,2,0,7,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,3,3,0,1,0,0,2,2,cabocbr01,2019
28,Kentavious Caldwell-Pope,SG,26,LAL,21,21,608,79,189,0.418,45,119,0.378,34,70,0.486,0.537,22,27,0.815,8,36,44,28,21,4,15,40,225,caldwke01,2019
29,DeMarre Carroll,C,33,HOU,2,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,3,3,1,0,0,0,1,2,carrode01,2019
30,Alex Caruso,PG,25,LAL,21,1,510,48,113,0.425,17,61,0.279,31,52,0.596,0.5,24,30,0.8,15,33,48,59,23,12,31,55,137,carusal01,2019
31,Tyson Chandler,C,37,HOU,1,0,0,0,0,,0,0,,0,0,,,0,2,0.0,0,0,0,0,0,0,0,0,0,chandty01,2019
32,Chris Chiozza,PG,24,BRK,4,0,65,8,24,0.333,5,16,0.313,3,8,0.375,0.438,2,4,0.5,1,5,6,17,5,0,3,7,23,chiozch01,2019
33,Gary Clark,SF,25,ORL,5,5,144,11,33,0.333,11,32,0.344,0,1,0.0,0.5,4,5,0.8,4,24,28,7,5,2,2,7,37,clarkga01,2019
34,Jordan Clarkson,SG,27,UTA,7,0,200,45,97,0.464,17,49,0.347,28,48,0.583,0.552,10,10,1.0,2,22,24,15,6,0,7,15,117,clarkjo01,2019
35,Chris Clemons,SG,22,HOU,2,0,8,2,5,0.4,2,5,0.4,0,0,,0.6,1,2,0.5,0,2,2,0,0,0,0,0,7,clemoch01,2019
36,Antonius Cleveland,SG,25,DAL,2,0,9,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,1,0,1,0,1,0,0,1,4,clevean01,2019
37,Amir Coffey,SG,22,LAC,3,0,7,0,3,0.0,0,1,0.0,0,2,0.0,0.0,2,2,1.0,0,0,0,4,1,0,0,0,2,coffeam01,2019
38,Mike Conley,PG,32,UTA,5,5,165,31,64,0.484,18,34,0.529,13,30,0.433,0.625,19,22,0.864,3,11,14,26,8,1,5,10,99,conlemi01,2019
39,Pat Connaughton,SG,27,MIL,10,0,171,15,35,0.429,8,23,0.348,7,12,0.583,0.543,2,2,1.0,5,34,39,11,2,2,5,12,40,connapa01,2019
40,Quinn Cook,PG,26,LAL,6,0,24,5,10,0.5,2,4,0.5,3,6,0.5,0.6,1,1,1.0,0,1,1,5,0,0,1,1,13,cookqu01,2019
41,Tyler Cook,SF,22,DEN,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,cookty01,2019
42,Robert Covington,C,29,HOU,12,12,379,47,95,0.495,34,68,0.5,13,27,0.481,0.674,6,7,0.857,8,52,60,16,30,13,12,45,134,covinro01,2019
43,Torrey Craig,SF,29,DEN,19,3,375,33,78,0.423,11,42,0.262,22,36,0.611,0.494,9,13,0.692,13,49,62,13,7,7,9,44,86,craigto01,2019
44,Jae Crowder,PF,29,MIA,21,21,660,81,201,0.403,55,161,0.342,26,40,0.65,0.54,35,46,0.761,11,106,117,39,14,12,15,55,252,crowdja01,2019
45,Seth Curry,SG,29,DAL,6,0,173,31,53,0.585,10,21,0.476,21,32,0.656,0.679,5,5,1.0,2,9,11,8,6,0,8,14,77,curryse01,2019
46,Troy Daniels,SG,28,DEN,6,0,30,6,12,0.5,3,6,0.5,3,6,0.5,0.625,1,2,0.5,1,2,3,2,0,0,0,2,16,danietr01,2019
