Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Ray Allen*,SG,37,MIA,23,0,573,74,172,0.43,39,96,0.406,35,76,0.461,0.544,47,54,0.87,13,51,64,29,12,3,27,42,234,allenra02
2,Tony Allen,SG,31,MEM,15,15,422,54,125,0.432,2,8,0.25,52,117,0.444,0.44,44,58,0.759,37,54,91,27,30,5,19,48,154,allento01
3,Chris Andersen,C,34,MIA,20,0,303,46,57,0.807,0,0,,46,57,0.807,0.807,36,49,0.735,32,44,76,3,9,22,11,53,128,anderch01
4,James Anderson,SG,23,HOU,2,0,18,1,5,0.2,0,3,0,1,2,0.5,0.2,0,0,,1,3,4,0,0,0,0,2,2,anderja01
5,Carmelo Anthony,PF,28,NYK,12,12,481,126,310,0.406,17,57,0.298,109,253,0.431,0.434,77,87,0.885,11,68,79,19,13,2,31,46,346,anthoca01
6,Joel Anthony,C,30,MIA,14,0,71,3,10,0.3,0,0,,3,10,0.3,0.3,0,0,,10,11,21,0,2,4,3,13,6,anthojo01
7,Darrell Arthur,PF,24,MEM,15,0,175,25,53,0.472,0,2,0,25,51,0.49,0.472,8,9,0.889,14,24,38,6,2,4,7,36,58,arthuda01
8,Ömer A??k,C,26,HOU,6,6,208,22,39,0.564,0,0,,22,39,0.564,0.564,30,47,0.638,21,46,67,3,3,10,12,22,74,asikom01
9,D.J. Augustin,PG,25,IND,19,1,316,27,71,0.38,19,48,0.396,8,23,0.348,0.514,25,31,0.806,2,13,15,13,7,0,10,26,98,augusdj01
10,Gustavo Ayón,C,27,MIL,3,0,7,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,4,ayongu01
11,Jeff Ayres,PF,25,IND,9,0,71,8,24,0.333,0,1,0,8,23,0.348,0.333,0,0,,4,14,18,1,0,2,3,14,16,pendeje02
12,Harrison Barnes,SF,20,GSW,12,12,461,72,162,0.444,19,52,0.365,53,110,0.482,0.503,30,35,0.857,18,59,77,15,7,5,16,33,193,barneha02
13,Matt Barnes,SF,32,LAC,6,0,162,24,44,0.545,7,17,0.412,17,27,0.63,0.625,16,19,0.842,7,23,30,3,4,2,5,23,71,barnema02
14,Brandon Bass,PF,27,BOS,6,5,204,14,29,0.483,0,0,,14,29,0.483,0.483,12,15,0.8,8,32,40,7,2,1,5,17,40,bassbr01
15,Shane Battier,SF,34,MIA,22,0,392,27,93,0.29,26,88,0.295,1,5,0.2,0.43,23,28,0.821,9,29,38,12,5,6,5,49,103,battish01
16,Jerryd Bayless,PG,24,MEM,15,0,320,49,137,0.358,18,59,0.305,31,78,0.397,0.423,23,26,0.885,1,29,30,32,7,5,16,35,139,bayleje01
17,Aron Baynes,C,26,SAS,4,1,23,4,7,0.571,0,0,,4,7,0.571,0.571,0,0,,2,3,5,0,0,0,1,4,8,baynear01
18,Kent Bazemore,SG,23,GSW,9,0,16,1,8,0.125,0,1,0,1,7,0.143,0.125,0,4,0,1,4,5,2,1,0,2,3,2,bazemke01
19,Marco Belinelli,SG,26,CHI,12,7,325,44,107,0.411,16,47,0.34,28,60,0.467,0.486,29,33,0.879,0,35,35,31,5,0,15,26,133,belinma01
20,Patrick Beverley,PG,24,HOU,6,5,200,28,65,0.431,8,24,0.333,20,41,0.488,0.492,7,7,1,11,22,33,17,7,4,6,24,71,beverpa01
21,Andris Biedri?š,C,26,GSW,3,0,17,0,0,,0,0,,0,0,,,0,0,,2,5,7,1,0,2,1,6,0,biedran01
22,Chauncey Billups,SG,36,LAC,6,6,115,11,36,0.306,6,17,0.353,5,19,0.263,0.389,9,11,0.818,2,10,12,6,1,1,8,10,37,billuch01
23,DeJuan Blair,PF,23,SAS,12,0,76,21,34,0.618,0,0,,21,34,0.618,0.618,5,9,0.556,6,18,24,7,5,1,1,14,47,blairde01
24,Steve Blake,PG,32,LAL,2,2,75,11,28,0.393,5,12,0.417,6,16,0.375,0.482,1,1,1,0,8,8,5,4,3,4,8,28,blakest01
25,Andray Blatche,C,26,BRK,7,0,138,29,58,0.5,0,0,,29,58,0.5,0.5,14,17,0.824,10,24,34,9,2,3,5,14,72,blatcan01
26,Eric Bledsoe,PG,23,LAC,6,0,97,15,30,0.5,1,9,0.111,14,21,0.667,0.517,8,12,0.667,2,13,15,18,2,3,5,10,39,bledser01
27,Keith Bogans,SG,32,BRK,2,0,23,0,1,0,0,1,0,0,0,,0,0,0,,0,2,2,2,0,0,1,3,0,boganke01
28,Andrew Bogut,C,28,GSW,12,12,327,39,67,0.582,0,0,,39,67,0.582,0.582,8,23,0.348,39,92,131,22,6,18,22,39,86,bogutan01
29,Matt Bonner,PF,32,SAS,20,1,267,28,59,0.475,15,32,0.469,13,27,0.481,0.602,10,12,0.833,9,30,39,6,5,5,2,35,81,bonnema01
30,Carlos Boozer,PF,31,CHI,12,12,431,83,168,0.494,0,1,0,83,167,0.497,0.494,31,45,0.689,35,80,115,18,10,1,29,36,197,boozeca01
31,Chris Bosh*,C,28,MIA,23,23,751,110,240,0.458,15,37,0.405,95,203,0.468,0.49,44,60,0.733,38,129,167,34,23,36,27,67,279,boshch01
32,Avery Bradley,PG,22,BOS,6,6,191,17,42,0.405,2,8,0.25,15,34,0.441,0.429,4,4,1,3,10,13,8,11,1,11,11,40,bradlav01
33,Corey Brewer,SF,26,DEN,6,0,146,21,68,0.309,9,36,0.25,12,32,0.375,0.375,14,21,0.667,3,8,11,7,6,1,7,19,65,breweco01
34,Ronnie Brewer,SF,27,OKC,1,0,8,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,brewero02
35,Aaron Brooks,PG,28,HOU,6,0,67,13,34,0.382,1,9,0.111,12,25,0.48,0.397,3,5,0.6,3,6,9,11,1,1,6,3,30,brookaa01
36,MarShon Brooks,SG,24,BRK,7,0,40,3,8,0.375,0,1,0,3,7,0.429,0.375,2,2,1,1,4,5,3,0,0,3,3,8,brookma01
37,Caron Butler,SF,32,LAC,6,6,136,22,46,0.478,4,16,0.25,18,30,0.6,0.522,3,3,1,1,15,16,0,2,2,6,11,51,butleca01
38,Jimmy Butler,SF,23,CHI,12,12,490,50,115,0.435,15,37,0.405,35,78,0.449,0.5,45,55,0.818,9,53,62,32,15,6,16,26,160,butleji01
39,Marcus Camby,PF,38,NYK,3,0,3,1,1,1,0,0,,1,1,1,1,0,0,,1,1,2,0,0,0,1,1,2,cambyma01
40,Mario Chalmers,PG,26,MIA,23,23,650,76,183,0.415,24,68,0.353,52,115,0.452,0.481,40,53,0.755,10,43,53,71,21,1,38,70,216,chalmma01
41,Tyson Chandler,C,30,NYK,12,12,350,28,52,0.538,0,0,,28,52,0.538,0.538,12,16,0.75,40,48,88,4,8,14,11,48,68,chandty01
42,Wilson Chandler,PF,25,DEN,6,6,205,27,76,0.355,9,29,0.31,18,47,0.383,0.414,9,12,0.75,5,28,33,8,8,3,7,25,72,chandwi01
43,Earl Clark,PF,25,LAL,4,1,82,7,19,0.368,0,4,0,7,15,0.467,0.368,0,0,,2,10,12,1,1,1,6,4,14,clarkea01
44,Norris Cole,PG,24,MIA,21,0,418,49,102,0.48,17,32,0.531,32,70,0.457,0.564,14,19,0.737,6,33,39,42,15,2,23,40,129,coleno01
45,Nick Collison,C,32,OKC,11,0,178,22,47,0.468,0,0,,22,47,0.468,0.468,11,12,0.917,25,26,51,12,5,11,10,37,55,collini01
46,Mike Conley,PG,25,MEM,15,15,575,83,216,0.384,18,64,0.281,65,152,0.428,0.426,71,93,0.763,12,59,71,107,26,5,34,34,255,conlemi01
47,Daequan Cook,SG,25,CHI,6,0,36,1,10,0.1,1,8,0.125,0,2,0,0.15,0,0,,0,3,3,4,1,0,4,6,3,cookda02
48,Chris Copeland,PF,28,NYK,9,1,93,12,30,0.4,11,23,0.478,1,7,0.143,0.583,2,2,1,2,7,9,1,5,0,4,9,37,copelch01
49,Jamal Crawford,SG,32,LAC,6,0,161,24,62,0.387,6,22,0.273,18,40,0.45,0.435,11,11,1,2,10,12,10,3,1,4,9,65,crawfja01
50,Jordan Crawford,SG,24,BOS,5,0,59,7,23,0.304,3,12,0.25,4,11,0.364,0.37,1,2,0.5,0,3,3,0,2,0,3,3,18,crawfjo02
51,Stephen Curry,PG,24,GSW,12,12,497,102,235,0.434,42,106,0.396,60,129,0.465,0.523,35,38,0.921,5,41,46,97,20,2,40,35,281,curryst01
52,Samuel Dalembert,C,31,MIL,1,0,9,0,2,0,0,0,,0,2,0,0,1,4,0.25,1,2,3,0,1,0,2,3,1,dalemsa01
53,Marquis Daniels,SF,32,MIL,3,0,33,6,11,0.545,0,2,0,6,9,0.667,0.545,0,0,,0,4,4,4,1,0,1,3,12,daniema01
54,Ed Davis,PF,23,MEM,8,0,48,5,12,0.417,0,0,,5,12,0.417,0.417,3,4,0.75,4,7,11,0,0,1,2,7,13,davised01
55,Austin Daye,SF,24,MEM,4,0,20,3,8,0.375,0,1,0,3,7,0.429,0.375,1,1,1,0,1,1,0,0,1,1,2,7,dayeau01
56,Nando De Colo,SG,25,SAS,5,0,14,1,4,0.25,0,3,0,1,1,1,0.25,2,2,1,2,2,4,2,0,0,0,1,4,decolna01
